open_price_xbt,open_price_eth
2540.0,246.79224
2524.506,242.59385
2531.907,243.21448
2538.592,244.79778
2542.106,244.00533
2532.216,242.02755
2535.939,241.25022
2549.984,240.99
2552.59,243.03504
2545.27,241.00055
2547.029,241.50011
2535.527,241.78788
2531.89,241.99
2527.28,241.36043
2526.92,241.99996
2508.871,240.84612
2499.12,236.98
2488.95,236.51763
2505.067,237.691
2502.944,237.74948
2505.159,236.0537
2503.584,236.59938
2508.559,236.78997
2504.631,237.91051
2512.991,237.59227
2517.93,235.21003
2520.02,235.59875
2511.026,233.99723
2482.637,229.0
2444.47,222.3012
2408.0,217.2
2378.029,215.60005
2372.351,213.76
2405.44,218.48978
2418.0,218.00219
2404.678,215.75
2402.59,215.20105
2383.998,213.55
2315.001,208.71211
2324.782,205.38278
2336.317,209.00012
2348.834,210.8
2350.959,207.00046
2333.218,201.5
2304.715,193.2
2313.599,195.53424
2309.968,193.61755
2259.0,179.02594
2322.629,187.49994
2305.853,183.00001
2342.487,196.77242
2341.244,196.0
2350.001,199.0
2392.3,209.0
2367.152,202.22286
2364.979,197.9
2356.234,196.32806
2359.005,200.01
2340.412,195.0
2330.771,191.0
2301.092,183.19991
2318.0,189.99996
2327.1,189.51092
2329.007,193.00021
2302.2,190.10043
2292.086,188.5
2257.255,184.0
2253.942,184.5799
2254.513,187.25011
2308.638,195.13606
2308.299,194.978
2316.049,198.28999
2315.435,199.46741
2327.0,202.52669
2345.104,204.71
2345.094,201.14522
2358.858,205.02
2350.526,201.59976
2351.576,201.54044
2367.907,204.45007
2370.003,204.0
2399.5,206.9
2397.993,220.0
2398.538,221.0
2403.0,222.4
2379.99,214.0
2366.269,213.84869
2369.706,220.99999
2373.845,222.85375
2382.999,218.97995
2391.458,221.48777
2400.316,221.28912
2415.054,225.40942
2391.189,218.25232
2383.68,216.84217
2387.701,212.5
2370.258,208.759
2392.0,212.21448
2377.78,207.0
2383.989,207.99729
2389.299,211.59498
2380.893,210.0
2364.02,206.4815
2367.5,208.0
2337.53,199.7
2348.309,201.23
2316.127,193.14526
2330.274,197.67999
2339.674,197.80757
2332.998,202.0
2317.0,198.99964
2341.287,204.99998
2338.641,204.99941
2335.067,202.21983
2312.9,198.68897
2304.539,199.0006
2316.389,199.99959
2315.94,201.01999
2322.98,201.65467
2346.483,202.15716
2342.403,202.90277
2338.132,200.99979
2342.302,201.82716
2341.851,200.99473
2326.406,200.70009
2280.732,192.59601
2283.38,191.97201
2281.521,191.83193
2257.159,189.44
2195.201,185.0
2197.098,187.85
2203.79,193.50112
2199.241,190.80242
2159.962,189.60232
2176.64,193.16797
2205.999,194.39999
2216.178,196.99999
2202.515,196.50999
2183.02,192.0
2138.75,188.00022
2083.852,187.24158
2117.645,189.84667
2096.628,187.45512
2099.82,188.15242
2051.5,185.71676
2053.472,184.69997
2065.194,183.9996
2078.879,184.99206
2055.68,184.31774
2032.0,183.00001
2014.671,181.001
2006.992,180.60188
2026.996,177.29945
2052.318,179.82732
2077.653,182.00001
2072.521,179.63724
2081.978,180.6991
2015.6,175.01001
2031.0,175.72897
2025.33,174.33978
1969.999,168.6
